Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,team_id,game_id
Caitlin Clark,32:27:00,5,15,0.333,4,11,0.364,6,6,1,0,0,3,2,0,10,4,20,-13,IND,202405140CON
Aliyah Boston,29:18:00,2,6,0.333,0,0,,0,0,,2,6,2,1,2,4,3,4,-12,IND,202405140CON
NaLyssa Smith,26:53:00,5,12,0.417,1,3,0.333,2,2,1,2,9,1,0,2,2,3,13,-12,IND,202405140CON
Katie Lou Samuelson,26:28:00,1,2,0.5,1,2,0.5,2,2,1,0,2,3,0,0,0,2,5,-13,IND,202405140CON
Erica Wheeler,19:02,3,3,1,1,1,1,1,1,1,0,1,2,1,0,2,1,8,-9,IND,202405140CON
Alyssa Thomas,35:54:00,4,8,0.5,0,0,,5,8,0.625,1,10,13,3,0,7,2,13,14,CON,202405140CON
DiJonai Carrington,30:35:00,6,15,0.4,1,3,0.333,3,3,1,2,5,1,2,0,3,2,16,15,CON,202405140CON
DeWanna Bonner,28:39:00,8,14,0.571,0,3,0,4,5,0.8,0,6,1,1,0,2,4,20,19,CON,202405140CON
Tyasha Harris,28:16:00,6,11,0.545,4,6,0.667,0,0,,0,0,2,1,0,0,3,16,19,CON,202405140CON
Brionna Jones,19:28,2,4,0.5,0,0,,4,6,0.667,1,3,1,3,1,1,1,8,12,CON,202405140CON
Natasha Cloud,33:36:00,5,15,0.333,1,6,0.167,3,3,1,1,8,7,1,0,4,1,14,-11,PHO,202405140LVA
Rebecca Allen,33:24:00,5,13,0.385,3,6,0.5,1,2,0.5,1,7,2,2,1,2,3,14,3,PHO,202405140LVA
Kahleah Copper,29:56:00,7,19,0.368,3,7,0.429,2,2,1,1,4,4,0,0,2,5,19,-5,PHO,202405140LVA
Diana Taurasi,28:22:00,8,14,0.571,7,11,0.636,0,1,0,0,3,0,0,0,2,5,23,3,PHO,202405140LVA
Natasha Mack,19:34,1,4,0.25,0,0,,0,0,,4,6,5,1,3,0,3,2,-3,PHO,202405140LVA
Kelsey Plum,37:52:00,8,20,0.4,3,10,0.3,0,2,0,0,3,5,1,0,2,2,19,9,LVA,202405140LVA
Jackie Young,36:05:00,6,16,0.375,2,8,0.25,9,10,0.9,0,7,6,3,2,1,1,23,12,LVA,202405140LVA
A'ja Wilson,34:40:00,10,22,0.455,0,2,0,10,11,0.909,3,13,5,1,3,1,2,30,9,LVA,202405140LVA
Alysha Clark,34:15:00,3,7,0.429,0,4,0,2,2,1,3,7,0,2,0,2,1,8,4,LVA,202405140LVA
Kiah Stokes,23:09,0,0,,0,0,,2,2,1,1,3,0,0,0,1,1,2,-8,LVA,202405140LVA
Alanna Smith,35:53:00,8,15,0.533,3,5,0.6,3,4,0.75,1,8,2,1,4,4,4,22,16,MIN,202405140SEA
Napheesa Collier,30:43:00,9,19,0.474,1,2,0.5,1,1,1,2,12,0,1,2,2,3,20,16,MIN,202405140SEA
Kayla McBride,30:32:00,3,8,0.375,1,5,0.2,2,2,1,2,5,5,3,0,2,2,9,12,MIN,202405140SEA
Courtney Williams,28:32:00,7,13,0.538,0,2,0,0,0,,0,5,7,5,0,3,2,14,11,MIN,202405140SEA
Diamond Miller,12:51,1,5,0.2,0,2,0,0,0,,0,3,0,0,0,0,1,2,-4,MIN,202405140SEA
Jewell Loyd,32:34:00,3,19,0.158,1,3,0.333,3,3,1,3,10,1,2,0,3,1,10,-13,SEA,202405140SEA
Ezi Magbegor,31:19:00,5,10,0.5,0,2,0,5,6,0.833,2,9,2,0,3,3,2,15,-16,SEA,202405140SEA
Skylar Diggins-Smith,30:53:00,4,13,0.308,0,1,0,2,2,1,0,1,6,2,1,4,3,10,-12,SEA,202405140SEA
Nneka Ogwumike,30:13:00,10,18,0.556,0,1,0,0,0,,5,9,0,2,0,1,3,20,-12,SEA,202405140SEA
Victoria Vivians,21:43,0,3,0,0,1,0,0,0,,1,4,1,0,0,0,1,0,-1,SEA,202405140SEA
Sabrina Ionescu,33:34:00,4,12,0.333,1,7,0.143,6,6,1,1,7,8,1,2,3,3,15,-2,NYL,202405140WAS
Betnijah Laney,33:01:00,9,13,0.692,2,6,0.333,0,0,,1,4,2,2,0,3,2,20,16,NYL,202405140WAS
Jonquel Jones,32:48:00,10,17,0.588,4,8,0.5,1,1,1,3,8,2,0,1,3,2,25,6,NYL,202405140WAS
Breanna Stewart,31:32:00,3,9,0.333,0,1,0,2,2,1,1,8,2,1,0,3,4,8,-5,NYL,202405140WAS
Courtney Vandersloot,27:38:00,3,9,0.333,0,2,0,0,0,,0,2,5,1,0,2,3,6,4,NYL,202405140WAS
Ariel Atkins,34:16:00,7,15,0.467,4,7,0.571,2,2,1,0,2,3,3,1,1,1,20,7,WAS,202405140WAS
Brittney Sykes,29:38:00,7,17,0.412,0,5,0,0,0,,1,10,7,2,0,2,3,14,1,WAS,202405140WAS
Karlie Samuelson,27:19:00,2,9,0.222,1,6,0.167,2,2,1,1,4,1,1,0,3,2,7,2,WAS,202405140WAS
Stefanie Dolson,26:46:00,4,8,0.5,2,6,0.333,2,4,0.5,2,5,2,0,0,0,2,12,3,WAS,202405140WAS
Shakira Austin,19:34,6,11,0.545,1,1,1,0,1,0,2,5,2,1,5,1,0,13,7,WAS,202405140WAS
Elizabeth Williams,33:37:00,4,8,0.5,0,0,,4,6,0.667,5,8,1,1,1,4,3,12,-10,CHI,202405150DAL
Marina Mabrey,33:35:00,6,16,0.375,2,7,0.286,5,7,0.714,1,9,3,2,0,2,1,19,-7,CHI,202405150DAL
Dana Evans,30:11:00,3,12,0.25,2,6,0.333,2,2,1,1,3,6,0,1,0,1,10,-18,CHI,202405150DAL
Angel Reese,26:28:00,5,14,0.357,0,0,,2,8,0.25,5,8,1,1,0,2,5,12,-7,CHI,202405150DAL
Diamond DeShields,18:17,7,12,0.583,0,2,0,0,0,,2,2,1,3,0,1,1,14,-8,CHI,202405150DAL
Arike Ogunbowale,38:16:00,10,23,0.435,2,6,0.333,3,3,1,0,3,7,3,0,2,4,25,9,DAL,202405150DAL
Natasha Howard,36:20:00,7,16,0.438,0,2,0,1,2,0.5,4,13,5,2,1,4,3,15,6,DAL,202405150DAL
Teaira McCowan,28:31:00,8,14,0.571,0,0,,2,3,0.667,4,13,0,1,3,1,3,18,5,DAL,202405150DAL
Sevgi Uzun,26:53:00,2,8,0.25,2,4,0.5,0,0,,0,0,3,0,1,3,2,6,8,DAL,202405150DAL
Jaelyn Brown,18:30,0,3,0,0,1,0,0,0,,0,2,0,0,2,2,1,0,-5,DAL,202405150DAL
Tina Charles,32:21:00,9,14,0.643,1,2,0.5,2,2,1,2,14,2,1,0,2,2,21,16,ATL,202405150LAS
Rhyne Howard,30:59:00,9,16,0.563,3,7,0.429,4,5,0.8,0,3,3,2,2,2,2,25,7,ATL,202405150LAS
Allisha Gray,28:36:00,4,12,0.333,2,4,0.5,2,2,1,2,3,0,0,1,0,2,12,-2,ATL,202405150LAS
Haley Jones,24:26:00,4,6,0.667,2,3,0.667,4,5,0.8,0,2,4,1,1,3,3,14,-2,ATL,202405150LAS
Cheyenne Parker,23:59,3,7,0.429,0,1,0,3,3,1,0,2,2,0,0,3,3,9,1,ATL,202405150LAS
Dearica Hamby,37:43:00,7,15,0.467,2,4,0.5,4,8,0.5,3,14,3,2,0,2,3,20,-10,LAS,202405150LAS
Lexie Brown,34:07:00,3,10,0.3,1,4,0.25,1,3,0.333,0,0,3,2,0,0,2,8,4,LAS,202405150LAS
Kia Nurse,32:19:00,8,16,0.5,5,11,0.455,2,2,1,1,2,1,1,0,2,1,23,3,LAS,202405150LAS
Layshia Clarendon,30:16:00,3,6,0.5,2,3,0.667,3,4,0.75,1,10,10,2,0,0,2,11,-1,LAS,202405150LAS
Cameron Brink,19:46,4,6,0.667,2,3,0.667,1,2,0.5,0,2,4,0,2,1,5,11,8,LAS,202405150LAS
Sabrina Ionescu,29:47:00,6,14,0.429,2,8,0.25,0,0,,2,7,3,1,1,0,1,14,34,NYL,202405160IND
Betnijah Laney,29:42:00,3,10,0.3,0,4,0,6,6,1,0,2,1,0,0,1,2,12,43,NYL,202405160IND
Breanna Stewart,29:20:00,12,21,0.571,1,3,0.333,6,6,1,5,10,4,3,2,0,3,31,26,NYL,202405160IND
Jonquel Jones,28:43:00,4,11,0.364,0,3,0,6,6,1,3,10,4,0,3,2,2,14,32,NYL,202405160IND
Courtney Vandersloot,27:22:00,4,7,0.571,1,2,0.5,0,0,,0,4,6,3,0,4,0,9,19,NYL,202405160IND
Caitlin Clark,30:08:00,2,8,0.25,1,7,0.143,4,4,1,0,7,6,0,1,3,5,9,-24,IND,202405160IND
Aliyah Boston,29:31:00,5,15,0.333,0,0,,2,2,1,5,7,2,1,1,0,3,12,-33,IND,202405160IND
NaLyssa Smith,25:24:00,2,6,0.333,0,1,0,1,2,0.5,1,4,0,1,0,3,2,5,-17,IND,202405160IND
Erica Wheeler,24:32:00,2,6,0.333,0,2,0,0,0,,0,2,4,0,0,2,1,4,-22,IND,202405160IND
Katie Lou Samuelson,18:03,4,5,0.8,2,2,1,0,0,,0,0,0,0,0,0,2,10,-28,IND,202405160IND
Ariel Atkins,33:20:00,3,12,0.25,0,5,0,2,2,1,0,2,7,1,0,6,4,8,-2,WAS,202405170CON
Karlie Samuelson,30:44:00,6,8,0.75,4,5,0.8,2,2,1,1,3,4,2,0,2,3,18,1,WAS,202405170CON
Stefanie Dolson,25:52:00,3,7,0.429,3,5,0.6,0,0,,1,6,1,1,1,0,3,9,-5,WAS,202405170CON
Shakira Austin,21:16,4,8,0.5,0,0,,2,3,0.667,1,9,0,1,0,4,3,10,-6,WAS,202405170CON
Brittney Sykes,5:57,0,1,0,0,0,,2,2,1,1,2,0,0,0,2,1,2,-1,WAS,202405170CON
DiJonai Carrington,36:54:00,7,18,0.389,0,4,0,7,7,1,0,4,3,1,1,1,2,21,10,CON,202405170CON
Alyssa Thomas,36:06:00,3,7,0.429,0,0,,7,7,1,3,11,6,2,1,5,4,13,9,CON,202405170CON
DeWanna Bonner,34:50:00,9,19,0.474,0,6,0,4,4,1,1,6,1,6,0,0,2,22,8,CON,202405170CON
Tyasha Harris,26:18:00,2,7,0.286,0,2,0,1,1,1,0,0,4,1,0,0,3,5,6,CON,202405170CON
Brionna Jones,20:45,3,5,0.6,0,0,,1,2,0.5,3,7,0,1,0,0,4,7,20,CON,202405170CON
Nneka Ogwumike,42:44:00,8,12,0.667,1,1,1,7,8,0.875,2,11,1,5,1,2,4,24,1,SEA,202405170MIN
Ezi Magbegor,42:22:00,3,5,0.6,1,2,0.5,2,2,1,2,6,5,2,2,2,4,9,-7,SEA,202405170MIN
Skylar Diggins-Smith,40:58:00,8,22,0.364,0,4,0,6,7,0.857,0,2,5,3,3,5,4,22,-14,SEA,202405170MIN
Jewell Loyd,36:48:00,4,21,0.19,2,6,0.333,10,11,0.909,1,6,6,2,0,2,6,20,0,SEA,202405170MIN
Victoria Vivians,12:52,0,3,0,0,2,0,0,0,,0,2,1,0,1,1,2,0,-6,SEA,202405170MIN
Napheesa Collier,44:08:00,10,22,0.455,1,3,0.333,8,9,0.889,3,9,5,6,2,5,5,29,10,MIN,202405170MIN
Kayla McBride,43:30:00,6,13,0.462,4,9,0.444,3,5,0.6,0,4,4,1,1,2,4,19,10,MIN,202405170MIN
Alanna Smith,42:43:00,6,10,0.6,2,2,1,2,2,1,1,5,2,3,6,4,4,16,1,MIN,202405170MIN
Courtney Williams,31:18:00,4,11,0.364,2,3,0.667,0,0,,0,6,6,1,1,5,2,10,1,MIN,202405170MIN
Diamond Miller,14:46,3,8,0.375,2,5,0.4,1,2,0.5,1,3,0,0,0,1,1,9,7,MIN,202405170MIN
Marina Mabrey,35:10:00,5,17,0.294,3,11,0.273,1,1,1,2,8,8,5,0,3,4,14,14,CHI,202405180DAL
Elizabeth Williams,31:31:00,5,14,0.357,0,0,,2,3,0.667,5,10,3,5,5,1,4,12,19,CHI,202405180DAL
Dana Evans,30:54:00,3,9,0.333,0,3,0,6,6,1,0,1,6,1,1,3,1,12,14,CHI,202405180DAL
Angel Reese,25:13:00,3,9,0.333,0,1,0,5,7,0.714,7,9,2,1,0,2,4,11,17,CHI,202405180DAL
Diamond DeShields,23:30,7,12,0.583,1,3,0.333,1,3,0.333,3,5,3,2,2,4,1,16,2,CHI,202405180DAL
Arike Ogunbowale,39:51:00,9,28,0.321,6,14,0.429,11,11,1,0,5,3,2,0,4,3,35,-9,DAL,202405180DAL
Stephanie Soares,32:15:00,0,1,0,0,0,,0,0,,3,9,1,1,4,3,4,0,-10,DAL,202405180DAL
Sevgi Uzun,29:11:00,4,5,0.8,1,1,1,0,0,,0,1,6,2,0,5,2,9,-9,DAL,202405180DAL
Teaira McCowan,20:59,2,7,0.286,0,0,,0,0,,2,5,0,1,2,4,3,4,-14,DAL,202405180DAL
Maddy Siegrist,18:45,3,9,0.333,0,1,0,0,0,,1,2,0,1,0,0,1,6,-6,DAL,202405180DAL
Dearica Hamby,33:11:00,12,16,0.75,0,0,,5,11,0.455,1,9,1,3,0,2,3,29,-6,LAS,202405180LVA
Kia Nurse,32:08:00,6,8,0.75,1,2,0.5,0,0,,0,2,3,1,0,1,1,13,1,LAS,202405180LVA
Lexie Brown,31:16:00,6,14,0.429,2,5,0.4,2,2,1,0,2,2,3,0,1,3,16,-11,LAS,202405180LVA
Cameron Brink,25:05:00,1,7,0.143,0,2,0,1,1,1,0,8,0,1,5,3,4,3,-10,LAS,202405180LVA
Layshia Clarendon,22:31,1,5,0.2,0,1,0,0,0,,0,3,4,1,0,4,3,2,-9,LAS,202405180LVA
Jackie Young,38:35:00,8,18,0.444,4,9,0.444,2,2,1,1,6,11,2,0,3,2,22,9,LVA,202405180LVA
Kelsey Plum,37:33:00,4,14,0.286,3,7,0.429,6,6,1,0,1,5,3,0,1,2,17,5,LVA,202405180LVA
A'ja Wilson,31:52:00,9,20,0.45,1,2,0.5,3,4,0.75,4,10,1,3,2,2,3,22,9,LVA,202405180LVA
Alysha Clark,28:26:00,5,7,0.714,3,5,0.6,0,0,,0,4,2,2,0,4,3,13,9,LVA,202405180LVA
Kiah Stokes,20:53,1,1,1,1,1,1,1,2,0.5,2,4,1,0,1,0,0,4,-5,LVA,202405180LVA
Caitlin Clark,34:27:00,9,17,0.529,4,10,0.4,0,0,,2,6,8,1,0,8,3,22,-9,IND,202405180NYL
Aliyah Boston,32:53:00,5,10,0.5,0,0,,2,2,1,3,7,1,1,1,0,5,12,-14,IND,202405180NYL
Katie Lou Samuelson,32:11:00,2,9,0.222,1,3,0.333,2,2,1,1,5,4,0,0,0,0,7,-9,IND,202405180NYL
Kelsey Mitchell,30:37:00,7,18,0.389,3,8,0.375,0,0,,0,2,2,2,0,3,0,17,-10,IND,202405180NYL
NaLyssa Smith,21:40,5,10,0.5,0,1,0,1,2,0.5,2,8,1,1,2,3,2,11,-17,IND,202405180NYL
Betnijah Laney,30:39:00,5,10,0.5,3,5,0.6,0,1,0,1,3,4,1,0,1,2,13,21,NYL,202405180NYL
Breanna Stewart,29:51:00,7,14,0.5,2,3,0.667,8,8,1,0,5,2,4,3,4,1,24,11,NYL,202405180NYL
Sabrina Ionescu,29:00:00,4,11,0.364,4,9,0.444,0,0,,0,1,5,1,0,2,0,12,13,NYL,202405180NYL
Jonquel Jones,24:50:00,5,6,0.833,2,2,1,2,2,1,3,12,5,0,1,1,3,14,19,NYL,202405180NYL
Courtney Vandersloot,23:25,4,8,0.5,2,5,0.4,0,0,,1,4,5,1,0,3,1,10,16,NYL,202405180NYL
Rhyne Howard,39:17:00,7,15,0.467,5,9,0.556,2,4,0.5,1,9,2,1,0,2,4,21,-2,ATL,202405180PHO
Allisha Gray,33:06:00,8,12,0.667,3,4,0.75,3,6,0.5,2,6,2,2,2,1,1,22,-4,ATL,202405180PHO
Tina Charles,26:55:00,2,7,0.286,0,1,0,2,2,1,0,3,4,2,0,2,4,6,-2,ATL,202405180PHO
Cheyenne Parker,23:07,5,13,0.385,1,4,0.25,7,8,0.875,0,6,0,3,2,3,4,18,-3,ATL,202405180PHO
Haley Jones,20:13,1,4,0.25,0,1,0,0,0,,0,1,5,0,0,2,4,2,9,ATL,202405180PHO
Kahleah Copper,32:35:00,11,20,0.55,3,5,0.6,13,16,0.813,1,6,1,0,0,2,4,38,0,PHO,202405180PHO
Natasha Cloud,31:07:00,2,6,0.333,0,0,,3,4,0.75,1,2,5,2,1,1,5,7,2,PHO,202405180PHO
Diana Taurasi,29:53:00,4,15,0.267,1,8,0.125,6,6,1,1,7,2,0,0,0,2,15,11,PHO,202405180PHO
Natasha Mack,21:41,3,4,0.75,0,0,,1,1,1,4,11,2,1,2,2,1,7,15,PHO,202405180PHO
Rebecca Allen,21:10,1,6,0.167,0,3,0,0,0,,0,3,1,0,2,1,1,2,4,PHO,202405180PHO
Jewell Loyd,37:01:00,6,19,0.316,0,6,0,12,14,0.857,1,4,2,1,0,3,3,24,10,SEA,202405190WAS
Ezi Magbegor,36:57:00,5,10,0.5,1,2,0.5,4,6,0.667,3,14,1,1,2,1,3,15,2,SEA,202405190WAS
Skylar Diggins-Smith,32:41:00,7,18,0.389,1,4,0.25,3,4,0.75,2,5,5,1,0,7,4,18,13,SEA,202405190WAS
Mercedes Russell,29:57:00,3,6,0.5,0,0,,2,2,1,2,5,0,2,0,3,5,8,22,SEA,202405190WAS
Victoria Vivians,23:06,2,6,0.333,1,3,0.333,2,2,1,2,3,2,2,0,2,4,7,3,SEA,202405190WAS
Ariel Atkins,30:54:00,7,16,0.438,3,7,0.429,2,2,1,1,3,1,2,0,3,4,19,7,WAS,202405190WAS
Stefanie Dolson,30:12:00,1,4,0.25,0,3,0,3,5,0.6,1,6,4,1,0,2,3,5,-2,WAS,202405190WAS
Karlie Samuelson,29:46:00,3,8,0.375,3,6,0.5,4,4,1,0,2,4,2,0,1,1,13,-3,WAS,202405190WAS
Julie Vanloo,27:26:00,2,8,0.25,1,5,0.2,0,0,,0,2,5,0,0,4,5,5,-5,WAS,202405190WAS
Aaliyah Edwards,24:31:00,3,9,0.333,0,0,,3,6,0.5,3,11,2,1,2,2,5,9,-2,WAS,202405190WAS
Alyssa Thomas,40:00:00,8,14,0.571,0,0,,8,12,0.667,5,14,9,1,1,1,3,24,4,CON,202405200IND
DiJonai Carrington,35:54:00,5,13,0.385,0,2,0,4,5,0.8,3,6,2,1,1,2,4,14,13,CON,202405200IND
DeWanna Bonner,34:58:00,7,19,0.368,1,7,0.143,7,8,0.875,0,3,2,1,0,1,2,22,7,CON,202405200IND
Tyasha Harris,29:39:00,5,12,0.417,3,7,0.429,3,3,1,0,0,2,0,0,1,1,16,19,CON,202405200IND
Brionna Jones,22:53,4,8,0.5,0,0,,0,0,,3,4,0,2,0,0,0,8,27,CON,202405200IND
Kelsey Mitchell,31:56:00,7,16,0.438,2,6,0.333,1,1,1,0,0,5,0,0,2,3,17,-6,IND,202405200IND
Aliyah Boston,30:13:00,5,11,0.455,0,0,,0,0,,2,8,2,0,3,6,4,10,-20,IND,202405200IND
Caitlin Clark,27:24:00,5,11,0.455,3,7,0.429,4,4,1,0,3,5,0,2,5,5,17,-18,IND,202405200IND
NaLyssa Smith,27:13:00,3,7,0.429,1,2,0.5,6,7,0.857,5,6,1,2,1,1,3,13,2,IND,202405200IND
Katie Lou Samuelson,15:14,1,2,0.5,0,0,,0,0,,0,2,0,0,0,0,0,2,-20,IND,202405200IND
Jewell Loyd,33:53:00,5,17,0.294,0,4,0,3,3,1,3,9,1,2,0,3,1,13,-12,SEA,202405200NYL
Mercedes Russell,33:52:00,4,7,0.571,0,0,,0,1,0,0,2,0,1,0,2,2,8,-16,SEA,202405200NYL
Ezi Magbegor,31:54:00,4,11,0.364,1,2,0.5,3,3,1,2,5,0,0,2,1,4,12,-9,SEA,202405200NYL
Skylar Diggins-Smith,28:00:00,3,13,0.231,0,4,0,2,3,0.667,1,3,7,1,1,4,3,8,-8,SEA,202405200NYL
Victoria Vivians,18:51,3,5,0.6,2,3,0.667,1,2,0.5,2,7,2,1,0,1,2,9,-8,SEA,202405200NYL
Sabrina Ionescu,34:04:00,7,17,0.412,1,6,0.167,5,5,1,0,1,8,1,0,5,0,20,21,NYL,202405200NYL
Betnijah Laney,33:21:00,4,9,0.444,1,3,0.333,4,4,1,1,3,4,2,0,2,1,13,16,NYL,202405200NYL
Breanna Stewart,32:57:00,7,18,0.389,0,6,0,2,3,0.667,2,11,1,3,2,2,1,16,16,NYL,202405200NYL
Jonquel Jones,27:58:00,5,9,0.556,1,3,0.333,5,5,1,0,8,0,0,2,2,2,16,4,NYL,202405200NYL
Courtney Vandersloot,23:25,0,1,0,0,1,0,0,0,,1,3,4,0,0,3,4,0,0,NYL,202405200NYL
Arike Ogunbowale,37:09:00,8,20,0.4,1,8,0.125,7,8,0.875,1,3,2,3,0,4,2,24,-9,DAL,202405210ATL
Sevgi Uzun,34:45:00,1,5,0.2,0,3,0,0,0,,0,3,8,1,1,3,1,2,-9,DAL,202405210ATL
Monique Billings,31:38:00,8,15,0.533,0,1,0,4,5,0.8,2,10,1,1,3,1,4,20,0,DAL,202405210ATL
Stephanie Soares,14:27,0,4,0,0,1,0,0,0,,0,1,1,0,0,0,0,0,-1,DAL,202405210ATL
Kalani Brown,6:31,0,1,0,0,0,,0,0,,0,2,0,0,0,1,3,0,-11,DAL,202405210ATL
Allisha Gray,35:12:00,8,17,0.471,4,9,0.444,1,4,0.25,1,2,3,3,0,1,2,21,7,ATL,202405210ATL
Rhyne Howard,32:38:00,4,14,0.286,1,8,0.125,6,7,0.857,2,10,4,2,1,3,2,15,3,ATL,202405210ATL
Tina Charles,31:30:00,5,14,0.357,1,3,0.333,1,2,0.5,4,11,1,2,0,0,2,12,3,ATL,202405210ATL
Cheyenne Parker,26:22:00,6,9,0.667,0,0,,4,4,1,1,2,0,0,1,4,5,16,4,ATL,202405210ATL
Haley Jones,16:12,1,2,0.5,0,0,,0,1,0,0,1,3,1,0,2,3,2,-4,ATL,202405210ATL
Ariel Atkins,34:07:00,3,13,0.231,1,7,0.143,2,2,1,1,2,4,6,1,7,5,9,-9,WAS,202405210LAS
Karlie Samuelson,30:42:00,4,10,0.4,1,4,0.25,0,0,,1,2,1,1,0,0,1,9,7,WAS,202405210LAS
Julie Vanloo,30:07:00,4,8,0.5,4,8,0.5,0,0,,0,3,9,1,0,4,2,12,10,WAS,202405210LAS
Stefanie Dolson,23:58,2,4,0.5,2,4,0.5,0,0,,0,3,2,2,0,4,4,6,8,WAS,202405210LAS
Shakira Austin,21:19,5,14,0.357,0,0,,2,4,0.5,4,8,1,0,0,2,0,12,-6,WAS,202405210LAS
Lexie Brown,40:00:00,6,14,0.429,3,6,0.5,5,5,1,0,2,6,2,0,7,3,20,2,LAS,202405210LAS
Dearica Hamby,36:45:00,7,13,0.538,0,2,0,3,6,0.5,2,18,4,1,0,4,4,17,0,LAS,202405210LAS
Kia Nurse,31:14:00,4,9,0.444,3,7,0.429,2,4,0.5,0,1,2,1,0,2,3,13,9,LAS,202405210LAS
Cameron Brink,29:52:00,2,2,1,0,0,,0,0,,1,8,3,3,4,3,3,4,11,LAS,202405210LAS
Layshia Clarendon,17:21,3,5,0.6,1,1,1,0,0,,1,1,2,1,0,2,2,7,-3,LAS,202405210LAS
Kahleah Copper,30:09:00,15,23,0.652,5,9,0.556,2,2,1,0,4,3,3,1,3,3,37,15,PHO,202405210LVA
Natasha Cloud,29:44:00,4,10,0.4,1,2,0.5,2,3,0.667,0,7,10,1,1,2,2,11,13,PHO,202405210LVA
Diana Taurasi,29:39:00,3,13,0.231,3,8,0.375,0,2,0,0,3,2,2,0,1,2,9,-4,PHO,202405210LVA
Rebecca Allen,27:34:00,3,7,0.429,2,4,0.5,0,0,,0,3,0,0,0,1,3,8,5,PHO,202405210LVA
Natasha Mack,21:37,3,5,0.6,0,0,,0,0,,3,7,6,0,2,0,1,6,-3,PHO,202405210LVA
Jackie Young,40:00:00,10,19,0.526,0,3,0,3,3,1,1,8,8,2,0,0,2,23,-10,LVA,202405210LVA
Kelsey Plum,37:40:00,9,23,0.391,7,14,0.5,2,2,1,0,2,5,1,0,3,4,27,-15,LVA,202405210LVA
Alysha Clark,33:58:00,1,4,0.25,1,4,0.25,1,2,0.5,1,4,1,1,0,2,2,4,-12,LVA,202405210LVA
A'ja Wilson,32:22:00,8,18,0.444,0,0,,5,8,0.625,2,13,2,0,3,1,2,21,-11,LVA,202405210LVA
Kiah Stokes,27:32:00,4,5,0.8,3,4,0.75,0,0,,2,6,3,0,1,1,3,11,1,LVA,202405210LVA
Caitlin Clark,32:56:00,6,16,0.375,2,8,0.25,7,9,0.778,1,7,7,0,2,3,0,21,7,IND,202405220SEA
Kelsey Mitchell,31:42:00,5,17,0.294,2,7,0.286,5,6,0.833,2,3,1,1,1,2,1,17,-8,IND,202405220SEA
NaLyssa Smith,26:58:00,8,13,0.615,0,0,,0,0,,6,11,1,2,1,1,0,16,1,IND,202405220SEA
Kristy Wallace,23:09,2,5,0.4,1,2,0.5,0,0,,1,4,3,1,0,1,1,5,3,IND,202405220SEA
Aliyah Boston,14:45,2,7,0.286,0,2,0,0,0,,1,3,1,0,1,1,4,4,-18,IND,202405220SEA
Jewell Loyd,38:29:00,12,24,0.5,2,5,0.4,6,7,0.857,2,11,6,2,0,0,2,32,6,SEA,202405220SEA
Nneka Ogwumike,34:42:00,10,15,0.667,1,2,0.5,1,2,0.5,2,9,3,0,0,2,2,22,-10,SEA,202405220SEA
Ezi Magbegor,28:33:00,5,12,0.417,0,1,0,4,4,1,6,9,1,0,3,1,4,14,10,SEA,202405220SEA
Skylar Diggins-Smith,25:41:00,1,10,0.1,0,2,0,0,0,,1,1,5,0,0,3,0,2,2,SEA,202405220SEA
Victoria Vivians,13:01,1,3,0.333,1,2,0.5,0,0,,1,2,0,0,1,0,0,3,6,SEA,202405220SEA
Napheesa Collier,43:48:00,13,23,0.565,0,3,0,5,9,0.556,2,11,4,4,2,4,3,31,2,MIN,202405230CON
Kayla McBride,39:48:00,5,11,0.455,3,8,0.375,0,0,,0,1,4,3,0,1,0,13,7,MIN,202405230CON
Courtney Williams,39:32:00,8,15,0.533,0,1,0,3,4,0.75,1,7,6,1,0,2,2,19,-2,MIN,202405230CON
Alanna Smith,23:25,4,7,0.571,0,1,0,2,3,0.667,1,7,2,2,1,3,6,10,9,MIN,202405230CON
Diamond Miller,14:23,1,5,0.2,0,3,0,0,0,,0,0,2,0,0,1,2,2,2,MIN,202405230CON
Alyssa Thomas,43:34:00,6,14,0.429,0,0,,6,7,0.857,1,7,5,2,2,2,3,18,-3,CON,202405230CON
Tyasha Harris,37:53:00,3,8,0.375,1,2,0.5,0,0,,0,2,3,0,0,4,5,7,7,CON,202405230CON
DeWanna Bonner,36:25:00,6,12,0.5,2,4,0.5,6,7,0.857,0,3,2,3,0,2,2,20,11,CON,202405230CON
Brionna Jones,27:13:00,8,13,0.615,0,0,,3,3,1,0,6,5,3,0,1,4,19,9,CON,202405230CON
DiJonai Carrington,23:49,3,9,0.333,0,1,0,2,2,1,1,3,0,0,0,2,0,8,-13,CON,202405230CON
Marina Mabrey,36:08:00,8,13,0.615,3,8,0.375,2,3,0.667,2,6,7,0,0,3,1,21,9,CHI,202405230NYL
Angel Reese,31:19:00,3,10,0.3,0,0,,7,9,0.778,3,9,1,1,0,1,3,13,7,CHI,202405230NYL
Dana Evans,29:00:00,5,14,0.357,2,4,0.5,0,0,,0,2,4,2,0,0,2,12,7,CHI,202405230NYL
Michaela Onyenwere,27:32:00,5,12,0.417,2,4,0.5,1,2,0.5,1,5,0,0,1,1,1,13,7,CHI,202405230NYL
